taxon,raw_date,resolved_date,date_precision,older_taxon_count,applicable_trait_count,primary_donor,primary_donor_date,primary_donor_gap_days,primary_donor_borrowed_trait_count,secondary_donor_count,borrowed_trait_count,innovation_count,secondary_donor_cost_total,trait_borrow_cost_total,innovation_cost_total,total_score,greedy_total_score,score_improvement_vs_greedy,innovations,donors,full_primary_donor,full_primary_donor_date,full_primary_donor_gap_days,full_primary_donor_borrowed_trait_count,primary_donor_support,primary_donor_nonempty_support,primary_donor_vote_count,primary_donor_nonempty_vote_count,primary_donor_in_full_solution,primary_donor_matches_full_primary,full_primary_donor_support,primary_donor_vote_breakdown
gpt2,2019-02-14,2019-02-14,exact_day,0,45,,,,,0,0,45,0.00,0.00,45.00,45.00,45.00,0.00,modality|stack_topology|state_update_rule|attention_family|attention_projection|projection_bias_scheme|q_lora_present|kv_lora_present|kv_layout|cross_layer_kv_sharing|attention_pattern|hybrid_block_schedule|window_schedule_detail|secondary_token_mixer|attention_output_gating|positional_encoding|qk_norm|norm_scheme|block_norm_variant|residual_scheme|residual_update_rule|ffn_core|ffn_projection_style|ffn_activation_core|has_aux_silu_gate|has_aux_relu2_gate|has_moe|tie_embeddings_default|tie_embeddings_configurable|output_head_connection|lm_head_bias|uses_logit_scale|uses_logit_softcap|bitlinear_weights|chunked_kv_cache|laurel|altup|conv_on_kv|rglru_recurrence|gated_delta_net|ngram_memory|same_block_attention_ssm|dual_attention_modules|kv_reuse_attention|global_plus_linear_attention_mix,,,,,,,,,,0,0,,
gpt_neox,2022-04-14,2022-04-14,exact_day,1,50,gpt2,2019-02-14,1155,46,1,46,4,2.00,4.60,4.00,10.60,10.60,0.00,positional_encoding|residual_scheme|tie_embeddings_default|output_head_connection,gpt2:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,gpt2,2019-02-14,1155,46,1.0000,1.0000,20,20,1,1,1.0000,gpt2:20
gpt_bigcode,2022-12-22,2022-12-22,exact_day,2,45,gpt2,2019-02-14,1407,42,1,42,3,2.00,4.20,3.00,9.20,9.20,0.00,kv_layout|ffn_activation_core|tie_embeddings_configurable,gpt2:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|output_head_connection|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail,gpt2,2019-02-14,1407,42,1.0000,1.0000,20,20,1,1,1.0000,gpt2:20
llama,2023-02-27,2023-02-27,exact_day,3,50,gpt2,2019-02-14,1474,39,1,39,11,2.00,3.90,11.00,16.90,16.90,0.00,attention_projection|projection_bias_scheme|attention_pattern|window_schedule_detail|positional_encoding|rope_parameterization|norm_scheme|block_norm_variant|ffn_projection_style|ffn_activation_core|tie_embeddings_configurable,gpt2:altup|attention_family|attention_output_gating|bitlinear_weights|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|optional_nope|output_head_connection|periodic_no_rope_layers|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|windowed_rope_scope,gpt2,2019-02-14,1474,39,0.6000,0.6000,12,20,1,1,0.6000,gpt2:12;gpt_bigcode:8
qwen,2023-08-03,2023-08-03,exact_day,4,50,llama,2023-02-27,157,38,2,44,6,4.00,4.40,6.00,14.40,14.40,0.00,projection_bias_scheme|kv_layout|norm_scheme|residual_scheme|output_head_connection|lm_head_bias,gpt_neox:attention_pattern|attention_projection|rope_parameterization|tie_embeddings_configurable|tie_embeddings_default|window_schedule_detail;llama:altup|attention_family|attention_output_gating|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|modality|ngram_memory|optional_nope|periodic_no_rope_layers|positional_encoding|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|uses_logit_scale|uses_logit_softcap|windowed_rope_scope,llama,2023-02-27,157,38,0.7500,0.7500,15,20,1,1,0.7500,llama:15;gpt_neox:5
stablelm,2023-09-05,2023-09-05,exact_day,5,50,gpt_neox,2022-04-14,536,29,2,49,1,4.00,4.90,1.00,9.90,9.90,0.00,output_head_connection,gpt_neox:attention_pattern|block_norm_variant|cross_layer_kv_sharing|ffn_core|gated_delta_net|has_aux_relu2_gate|kv_reuse_attention|modality|norm_scheme|optional_nope|periodic_no_rope_layers|positional_encoding|q_lora_present|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|window_schedule_detail|windowed_rope_scope;llama:altup|attention_family|attention_output_gating|attention_projection|bitlinear_weights|chunked_kv_cache|conv_on_kv|dual_attention_modules|ffn_activation_core|ffn_projection_style|global_plus_linear_attention_mix|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|laurel|lm_head_bias|ngram_memory|projection_bias_scheme|qk_norm|same_block_attention_ssm|uses_logit_scale|uses_logit_softcap,gpt_neox,2022-04-14,509,25,0.4500,0.4500,9,20,1,1,0.4500,gpt_neox:9;llama:5;plamo:5;qwen:1
plamo,2023-09-28,2023-09-28,exact_day,6,50,llama,2023-02-27,213,42,2,49,1,4.00,4.90,1.00,9.90,9.90,0.00,output_head_connection,llama:attention_family|attention_projection|chunked_kv_cache|cross_layer_kv_sharing|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|kv_lora_present|lm_head_bias|modality|norm_scheme|periodic_no_rope_layers|projection_bias_scheme|qk_norm|rope_partition_detail|stack_topology|uses_logit_scale;qwen:altup|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|conv_on_kv|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|has_aux_silu_gate|hybrid_block_schedule|kv_layout|kv_reuse_attention|laurel|ngram_memory|optional_nope|positional_encoding|q_lora_present|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|same_block_attention_ssm|secondary_token_mixer|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_softcap|window_schedule_detail|windowed_rope_scope,qwen,2023-08-03,56,31,0.7500,0.7500,15,20,1,1,0.7500,llama:15;qwen:5
nemotron,2023-11-14,2023-11-14,exact_day,7,50,gpt_neox,2022-04-14,579,20,2,48,2,4.00,4.80,2.00,10.80,11.70,0.90,block_norm_variant|ffn_activation_core,gpt_neox:attention_family|attention_pattern|conv_on_kv|ffn_projection_style|gated_delta_net|has_moe|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|modality|norm_scheme|optional_nope|positional_encoding|q_lora_present|rglru_recurrence|rope_partition_detail|stack_topology|tie_embeddings_default|window_schedule_detail|windowed_rope_scope;llama:altup|attention_output_gating|attention_projection|bitlinear_weights|chunked_kv_cache|cross_layer_kv_sharing|dual_attention_modules|ffn_core|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|kv_layout|laurel|lm_head_bias|ngram_memory|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|qk_norm|residual_scheme|residual_update_rule|rope_parameterization|same_block_attention_ssm|secondary_token_mixer|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap,llama,2023-02-27,260,28,0.4000,0.4000,8,20,1,0,0.3500,gpt_neox:8;llama:7;stablelm:4;gpt_bigcode:1
mamba,2023-12-01,2023-12-01,exact_day,8,45,llama,2023-02-27,277,18,2,36,9,4.00,3.60,9.00,16.60,16.60,0.00,stack_topology|state_update_rule|attention_family|attention_projection|kv_layout|attention_pattern|positional_encoding|ffn_core|has_aux_silu_gate,llama:conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_moe|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|modality|norm_scheme|projection_bias_scheme|residual_scheme|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale;qwen:altup|attention_output_gating|bitlinear_weights|block_norm_variant|chunked_kv_cache|has_aux_relu2_gate|laurel|lm_head_bias|ngram_memory|output_head_connection|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|same_block_attention_ssm|secondary_token_mixer|uses_logit_softcap|window_schedule_detail,qwen,2023-08-03,120,18,0.7000,0.7000,14,20,1,0,0.3000,llama:14;qwen:6
mixtral,2023-12-11,2023-12-11,exact_day,9,60,llama,2023-02-27,287,30,2,54,6,4.00,5.40,6.00,15.40,15.40,0.00,kv_layout|has_moe|moe_distribution|moe_schedule_type|moe_subtype|router_activation,llama:attention_family|bitlinear_weights|block_norm_variant|chunked_kv_cache|dual_attention_modules|expert_bias_correction|ffn_activation_core|ffn_core|ffn_projection_style|grouped_expert_selection|has_aux_relu2_gate|has_aux_silu_gate|has_shared_expert|hybrid_block_schedule|kv_lora_present|laurel|lm_head_bias|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|positional_encoding|residual_scheme|rglru_recurrence|rope_parameterization|rope_partition_detail|router_activation_configurable|shared_expert_configurable|stack_topology|state_update_rule|uses_logit_scale|uses_logit_softcap|windowed_rope_scope;nemotron:altup|attention_output_gating|attention_pattern|attention_projection|conv_on_kv|cross_layer_kv_sharing|gated_delta_net|global_plus_linear_attention_mix|kv_reuse_attention|modality|output_head_connection|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|same_block_attention_ssm|secondary_token_mixer|tie_embeddings_configurable|tie_embeddings_default|window_schedule_detail|zero_expert_option,llama,2023-02-27,287,33,0.6000,0.6000,12,20,1,1,0.6000,llama:12;nemotron:5;plamo:3
