taxon,raw_date,resolved_date,date_precision,older_taxon_count,applicable_trait_count,primary_donor,primary_donor_date,primary_donor_gap_days,primary_donor_borrowed_trait_count,secondary_donor_count,borrowed_trait_count,innovation_count,secondary_donor_cost_total,trait_borrow_cost_total,innovation_cost_total,total_score,greedy_total_score,score_improvement_vs_greedy,innovations,donors
gpt2,2019-02-14,2019-02-14,exact_day,0,45,,,,,0,0,45,0.00,0.00,45.00,45.00,45.00,0.00,modality|stack_topology|state_update_rule|attention_family|attention_projection|projection_bias_scheme|q_lora_present|kv_lora_present|kv_layout|cross_layer_kv_sharing|attention_pattern|hybrid_block_schedule|window_schedule_detail|secondary_token_mixer|attention_output_gating|positional_encoding|qk_norm|norm_scheme|block_norm_variant|residual_scheme|residual_update_rule|ffn_core|ffn_projection_style|ffn_activation_core|has_aux_silu_gate|has_aux_relu2_gate|has_moe|tie_embeddings_default|tie_embeddings_configurable|output_head_connection|lm_head_bias|uses_logit_scale|uses_logit_softcap|bitlinear_weights|chunked_kv_cache|laurel|altup|conv_on_kv|rglru_recurrence|gated_delta_net|ngram_memory|same_block_attention_ssm|dual_attention_modules|kv_reuse_attention|global_plus_linear_attention_mix,
glm,2021-03-18,2021-03-18,exact_day,1,50,gpt2,2019-02-14,763,41,1,41,9,2.00,4.10,9.00,15.10,15.10,0.00,attention_projection|projection_bias_scheme|positional_encoding|norm_scheme|block_norm_variant|ffn_core|ffn_projection_style|ffn_activation_core|tie_embeddings_configurable,gpt2:altup|attention_family|attention_output_gating|attention_pattern|bitlinear_weights|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|optional_nope|output_head_connection|periodic_no_rope_layers|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
gpt_neox,2022-04-14,2022-04-14,exact_day,2,50,gpt2,2019-02-14,1155,46,1,46,4,2.00,4.60,4.00,10.60,10.60,0.00,positional_encoding|residual_scheme|tie_embeddings_default|output_head_connection,gpt2:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
gpt_bigcode,2022-12-22,2022-12-22,exact_day,3,45,gpt2,2019-02-14,1407,42,1,42,3,2.00,4.20,3.00,9.20,9.20,0.00,kv_layout|ffn_activation_core|tie_embeddings_configurable,gpt2:altup|attention_family|attention_output_gating|attention_pattern|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|output_head_connection|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail
llama,2023-02-27,2023-02-27,exact_day,4,50,glm,2021-03-18,711,45,1,45,5,2.00,4.50,5.00,11.50,11.50,0.00,attention_pattern|window_schedule_detail|rope_parameterization|ffn_core|ffn_projection_style,glm:altup|attention_family|attention_output_gating|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|output_head_connection|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|windowed_rope_scope
stablelm,2023-04-19,2023-04-19,exact_day,5,50,gpt_neox,2022-04-14,370,45,2,49,1,4.00,4.90,1.00,9.90,9.90,0.00,output_head_connection,gpt_neox:altup|attention_family|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_core|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|kv_reuse_attention|laurel|lm_head_bias|modality|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|positional_encoding|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope;llama:attention_projection|ffn_activation_core|ffn_projection_style|projection_bias_scheme
phi,2023-06,2023-06-15,month_midpoint,6,50,gpt_neox,2022-04-14,427,45,1,45,5,2.00,4.50,5.00,11.50,11.50,0.00,attention_projection|kv_layout|ffn_core|output_head_connection|lm_head_bias,gpt_neox:altup|attention_family|attention_output_gating|attention_pattern|bitlinear_weights|block_norm_variant|chunked_kv_cache|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_aux_silu_gate|has_moe|hybrid_block_schedule|kv_lora_present|kv_reuse_attention|laurel|modality|ngram_memory|norm_scheme|optional_nope|periodic_no_rope_layers|positional_encoding|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|residual_update_rule|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail|windowed_rope_scope
qwen,2023-08-03,2023-08-03,exact_day,7,50,phi,2023-06-15,49,25,2,46,4,4.00,4.60,4.00,12.60,14.20,1.60,attention_projection|projection_bias_scheme|norm_scheme|residual_scheme,llama:attention_family|bitlinear_weights|block_norm_variant|cross_layer_kv_sharing|ffn_activation_core|ffn_core|ffn_projection_style|has_aux_silu_gate|hybrid_block_schedule|kv_lora_present|laurel|modality|ngram_memory|optional_nope|positional_encoding|qk_norm|residual_update_rule|secondary_token_mixer|stack_topology|state_update_rule|windowed_rope_scope;phi:altup|attention_output_gating|attention_pattern|chunked_kv_cache|conv_on_kv|dual_attention_modules|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|kv_layout|kv_reuse_attention|lm_head_bias|output_head_connection|periodic_no_rope_layers|q_lora_present|rglru_recurrence|rope_parameterization|rope_partition_detail|same_block_attention_ssm|tie_embeddings_configurable|tie_embeddings_default|uses_logit_scale|uses_logit_softcap|window_schedule_detail
plamo,2023-09-28,2023-09-28,exact_day,8,50,qwen,2023-08-03,56,28,2,49,1,4.00,4.90,1.00,9.90,9.90,0.00,output_head_connection,llama:altup|attention_family|attention_projection|bitlinear_weights|block_norm_variant|chunked_kv_cache|ffn_core|has_aux_silu_gate|hybrid_block_schedule|lm_head_bias|modality|norm_scheme|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|rglru_recurrence|same_block_attention_ssm|secondary_token_mixer|uses_logit_scale|uses_logit_softcap|windowed_rope_scope;qwen:attention_output_gating|attention_pattern|conv_on_kv|cross_layer_kv_sharing|dual_attention_modules|ffn_activation_core|ffn_projection_style|gated_delta_net|global_plus_linear_attention_mix|has_aux_relu2_gate|has_moe|kv_layout|kv_lora_present|kv_reuse_attention|laurel|ngram_memory|optional_nope|positional_encoding|qk_norm|residual_scheme|residual_update_rule|rope_parameterization|rope_partition_detail|stack_topology|state_update_rule|tie_embeddings_configurable|tie_embeddings_default|window_schedule_detail
nemotron,2023-11-14,2023-11-14,exact_day,9,50,llama,2023-02-27,260,27,2,48,2,4.00,4.80,2.00,10.80,11.70,0.90,block_norm_variant|ffn_activation_core,gpt_neox:attention_family|attention_pattern|cross_layer_kv_sharing|ffn_core|ffn_projection_style|has_aux_relu2_gate|has_moe|hybrid_block_schedule|kv_layout|kv_lora_present|lm_head_bias|modality|norm_scheme|optional_nope|positional_encoding|residual_update_rule|rglru_recurrence|same_block_attention_ssm|tie_embeddings_default|window_schedule_detail|windowed_rope_scope;llama:altup|attention_output_gating|attention_projection|bitlinear_weights|chunked_kv_cache|conv_on_kv|dual_attention_modules|gated_delta_net|global_plus_linear_attention_mix|has_aux_silu_gate|kv_reuse_attention|laurel|ngram_memory|output_head_connection|periodic_no_rope_layers|projection_bias_scheme|q_lora_present|qk_norm|residual_scheme|rope_parameterization|rope_partition_detail|secondary_token_mixer|stack_topology|state_update_rule|tie_embeddings_configurable|uses_logit_scale|uses_logit_softcap
